title,category,subcategory,price,image_url,sizes_text,is_active
Black Huge bag,Сумки/Рюкзаки,,3500,https://sun9-71.vkuserphoto.ru/s/v1/ig2/FZmZjdrXtzsBnP5bVM06VfOK2N1o49bm6Gu7T7E6um4CFDK1hqZ9vJ0SwQ2oVoO4vpmp8jMGiNMP6hRpeQ43cIiS.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Очки Adidas,Солнцезащитные очки,,2750,https://sun9-49.userapi.com/s/v1/ig2/MRJ7ih521J3m0Rog0BQYnNQh3iM8xY5eazMFD2N5wR6ZqwjBpjE8RjzE5BZHfT1v8lH_ZQeICPHRWPappXgzWOfj.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Sling black bag,Сумки/Рюкзаки,,3500,https://sun9-75.vkuserphoto.ru/s/v1/if2/H6hDn1LSwQ6mTnSE2v7ZKVirwHS3vFmtslJ5Egc0_0JTMWe2PqINqog8NjiF7agPM4hdei8EZeBfRVhM22o3jLXC.jpg?quality=95&as=32x24,"XS,S,M,L,XL,XXL",1
Undercut Tout bag,Сумки/Рюкзаки,,4500,https://sun9-8.vkuserphoto.ru/s/v1/ig2/_dnrrG1AG66Gv7Cpcp52YRJYOLeNoVHEYoUPw4FF7_r4syTgAdAuFMHx8zvfGZdZ0TW1loh1OsIkpvCTdWUgVxOc.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Olive Huge Bag,Сумки/Рюкзаки,,3500,https://sun9-7.vkuserphoto.ru/s/v1/ig2/eX-B3w6N1y4lud8srAfTRPTiP840A-7RVrtYP4nqCnFYPe7kgZ_xGej63Q6SFyg6mXSgKWpqyJU6D5Ew-DW_3tmt.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Sling Bag Grey,Сумки/Рюкзаки,,3500,https://sun9-85.vkuserphoto.ru/s/v1/ig2/3O4jACG_9MqR91DoQW1Ij4hhr7n3QhvrqqM3ZyxPs1AAV8JvMUMIXqaX0AaEm32p5yCGi-rAPqfFIVPtD1MIo2LA.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Sling Bag Green,Сумки/Рюкзаки,,3500,https://sun9-23.vkuserphoto.ru/s/v1/if2/JNBbsqq6J_oLYJgZRjVdgBETI2nU281dWEmn95APPDJPzzE6nmcUHQwuuasr9PFLnZmGBBnrVo9lSVkNJvdrFvyG.jpg?quality=95&as=32x24,"XS,S,M,L,XL,XXL",1
Сумка в руку белая,Сумки/Рюкзаки,,2000,https://sun9-31.vkuserphoto.ru/s/v1/ig2/KcbBdw454KsSxYgmQJzKQjbccnaZyko93Qcu8gST6IcPnIx6xSX3wfZscToIGgp7yXXmaMqqMQqsu95ZjHPQBmjB.jpg?quality=95&as=32x43,ONE SIZE,1
Сумка в руку черная,Сумки/Рюкзаки,,2000,https://sun9-29.vkuserphoto.ru/s/v1/ig2/HVPW15rPE5_3iCLNte2TXfE6zNBrCUOJ0JfkQ24QmIJnZFuPgGjJrjgYoUrZSqJ1OFkEpGEmm8z2dHf8sqRotLo1.jpg?quality=95&as=32x43,ONE SIZE,1
Japanese cargo shorts,Шорты/Юбки,,2500,https://sun9-41.vkuserphoto.ru/s/v1/ig2/BsERY3d4yxBlS_MyipqBEdoUjAYQ54frDuNxR8dq56aXyi9iFk00NyJ4j9LB-Bpbx-ypGgPlBiqpH27xZH1EYtgI.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
